account_id,customer_id,account_type,open_date,balance,currency,is_active
ACC200000,CUST103925,Savings,2024-10-16 04:23:33.789011478,75852.37,ZAR,1
ACC200001,CUST103233,Savings,2023-03-26 04:04:15.196666241,21157.29,ZAR,1
ACC200002,CUST100313,Savings,2025-09-13 11:00:22.231174707,6943.92,ZAR,1
ACC200003,CUST104733,Savings,2022-01-03 04:15:41.341588020,20893.25,ZAR,1
ACC200004,CUST103832,Business,2023-03-17 14:13:35.958323002,84949.86,ZAR,1
ACC200005,CUST103458,Current,2016-02-07 11:13:46.902700186,64705.93,ZAR,1
ACC200006,CUST102453,Fixed Deposit,2022-01-10 11:06:08.590357065,10599.8,ZAR,1
ACC200007,CUST103973,Savings,2019-05-13 19:16:57.571558952,43790.16,zar,1
ACC200008,CUST101564,Credit Card,2020-11-19 05:30:18.915430307,74083.53,ZAR,0
ACC200009,CUST103623,Current,2018-10-13 09:38:07.342357874,38897.11,ZAR,1
ACC200010,CUST103051,Current,2018-04-30 01:25:39.518093824,29829.01,ZAR,1
ACC200011,CUST103051,Credit Card,2024-07-03 15:23:51.947887897,-58611.94,ZAR,1
ACC200012,CUST103997,Current,2021-06-16 17:44:27.977911234,74830.38,ZAR,1
ACC200013,CUST100865,Current,2017-12-07 02:02:18.421144962,-16132.72,zar,1
ACC200014,CUST100519,Fixed Deposit,2023-11-18 04:48:43.357383251,-49828.59,ZAR,1
ACC200015,CUST102776,Savings,2015-11-13 09:55:47.773606300,-47171.97,ZAR,1
ACC200016,CUST104036,Savings,2018-05-25 00:40:20.931721687,-9204.31,ZAR,1
ACC200017,CUST101267,Business,2018-11-23 13:40:52.516415834,44438.65,ZAR,1
ACC200018,CUST102847,Fixed Deposit,2017-01-21 04:36:43.323956490,71425.37,ZAR,1
ACC200019,CUST104785,Current,2024-10-04 13:54:31.384411812,38666.28,ZAR,1
ACC200020,CUST103100,Credit Card,2022-10-21 14:10:59.966635704,94420.52,ZAR,1
ACC200021,CUST100393,Fixed Deposit,2022-10-06 09:16:39.436642647,8874.26,ZAR,1
ACC200022,CUST104394,Current,2021-11-12 03:39:03.352900028,15717.13,ZAR,1
ACC200023,CUST104880,Savings,2019-05-20 04:14:27.011749744,-49670.39,ZAR,1
ACC200024,CUST103549,Current,2022-08-19 14:54:26.780120850,1967.8,ZAR,1
ACC200025,CUST103052,Savings,2023-07-12 11:34:00.378895998,-56681.09,ZAR,1
ACC200026,CUST102917,Savings,2021-03-27 18:36:14.384392500,-28668.93,ZAR,1
ACC200027,CUST103116,Business,2020-06-14 03:48:51.285273075,50204.92,ZAR,1
ACC200028,CUST101680,Credit Card,2017-08-03 12:11:53.370384932,-42482.99,ZAR,1
ACC200029,CUST103223,Credit Card,2015-12-22 07:26:52.641539812,-38527.71,ZAR,1
ACC200030,CUST102551,Current,2015-06-24 16:59:23.010031700,-45312.25,ZAR,1
ACC200031,CUST103960,Savings,2023-04-10 06:08:19.614217281,56054.74,ZAR,1
ACC200032,CUST104182,Current,2019-01-14 18:39:50.134385109,90556.11,ZAR,1
ACC200033,CUST103549,Current,2023-03-16 13:36:24.464410782,22010.64,ZAR,1
ACC200034,CUST104978,Current,2020-11-18 10:38:23.305520296,62715.39,ZAR ,1
ACC200035,CUST102243,Savings,2020-03-05 07:54:31.665086269,-21562.64,ZAR,0
ACC200036,CUST103780,Credit Card,2022-04-14 08:40:15.887715340,74195.71,ZAR,0
ACC200037,CUST101713,Savings,2017-02-14 04:32:34.710757732,-3627.31,ZAR,1
ACC200038,CUST103950,Savings,2026-05-06 23:35:46.811265707,51703.15,ZAR,1
ACC200039,CUST101336,Current,2018-10-28 20:34:48.110884428,23911.09,ZAR,1
ACC200040,CUST103497,Business,2023-11-28 15:41:01.845028639,-51718.78,ZAR,1
ACC200041,CUST100071,Savings,2017-11-14 11:31:21.519729376,-10406.37,ZAR,1
ACC200042,CUST103834,Savings,2020-06-02 08:21:05.289361954,,ZAR,1
ACC200043,CUST101452,Business,2020-10-13 01:54:15.562934875,-48985.96,ZAR,1
ACC200044,CUST101215,Business,2018-07-21 03:58:01.238743782,36862.21,ZAR,0
ACC200045,CUST101670,Savings,2019-01-14 16:09:46.148504019,,ZAR,0
ACC200046,CUST102119,Credit Card,2020-01-16 06:24:58.070665836,46625.09,ZAR,1
ACC200047,CUST100641,Fixed Deposit,2024-09-07 02:18:48.679300547,-29423.92,ZAR,1
ACC200048,CUST102779,Savings,2020-10-16 05:07:29.168590546,42727.3,ZAR,1
ACC200049,CUST100619,Credit Card,2016-01-10 16:09:26.819997549,57664.31,ZAR,1
ACC200050,CUST102747,Savings,2017-07-05 13:01:52.283724308,18277.38,ZAR,1
ACC200051,CUST101843,Credit Card,2026-06-02 21:06:12.035971880,21794.81,ZAR,1
ACC200052,CUST102986,Savings,2016-01-16 03:49:32.286086321,84421.72,ZAR,1
ACC200053,CUST100756,Current,2022-07-02 21:25:22.627467155,-6328.5,ZAR,1
ACC200054,CUST104867,Credit Card,2017-06-12 04:40:59.852030993,3630.24,ZAR,1
ACC200055,CUST100074,Savings,2020-01-02 01:34:56.590299606,50626.14,ZAR,1
ACC200056,CUST104276,Credit Card,2019-02-19 04:38:34.765050411,41892.67,ZAR,1
ACC200057,CUST101759,Savings,2026-04-26 11:03:29.326638699,15286.82,ZAR,1
ACC200058,CUST104139,Savings,2021-05-20 21:10:00.848018408,-23601.05,ZAR,1
ACC200059,CUST102981,Fixed Deposit,2017-11-23 03:14:17.097893953,63945.09,ZAR,1
