loan_id,customer_id,loan_type,principal,interest_rate,term_months,start_date,status
LOAN300000,CUST101205,Business,197250.84,23.59,36,2017-07-08 09:30:40.624318123,Active
LOAN300001,CUST100594,Student,9114.83,,84,2024-04-25 10:02:11.544258356,Closed
LOAN300002,CUST103448,Home,9841.0,17.46,36,2016-09-05 11:55:43.501821517,Active
LOAN300003,CUST101778,Home,95755.74,23.74,36,2024-05-20 04:48:18.398421288,Active
LOAN300004,CUST101807,Vehicle,7653.56,21.12,24,2021-01-05 02:59:15.070569515,Defaulted
LOAN300005,CUST103297,Home,26211.17,9.06,24,2017-12-05 03:50:11.205741405,Defaulted
LOAN300006,CUST100735,Personal,19106.74,24.83,84,2018-05-31 04:39:22.377793312,Closed
LOAN300007,CUST100682,Home,24609.35,15.72,12,2025-12-27 04:20:03.184136868,Closed
LOAN300008,CUST102628,Business,38591.29,18.75,36,2021-10-10 15:50:37.267496585,Closed
LOAN300009,CUST100568,Home,23948.53,21.38,60,2023-08-05 06:40:31.727938652,Active
LOAN300010,CUST100858,Personal,8683.34,17.51,60,2018-03-07 01:38:09.589611769,Active
LOAN300011,CUST101172,Personal,14641.41,17.27,60,2026-01-13 23:41:55.003100872,Defaulted
LOAN300012,CUST101108,Home,44209.02,20.41,84,2019-08-30 14:30:21.386206627,Closed
LOAN300013,CUST100438,Vehicle,69535.84,9.28,84,2023-05-20 13:07:14.560085773,Closed
LOAN300014,CUST102845,Vehicle,50418.99,14.69,36,2020-02-16 17:08:30.758978367,Active
LOAN300015,CUST100446,Personal,81141.75,,60,2016-03-13 07:38:10.387985468,Defaulted
LOAN300016,CUST101457,Business,133295.06,12.78,36,2023-02-27 01:51:57.439790010,Active
LOAN300017,CUST100956,Student,113121.19,19.34,36,2025-05-14 08:12:22.104820967,Closed
LOAN300018,CUST102880,Business,6059.55,19.9,24,2021-05-06 11:28:56.867782593,Active
LOAN300019,CUST102674,Personal,81583.53,9.33,12,2025-09-29 02:55:31.399019241,Active
LOAN300020,CUST104588,Business,15378.85,12.25,12,2023-02-10 00:53:02.293373108,Closed
LOAN300021,CUST101344,Home,72276.28,20.43,24,2020-06-20 02:31:51.505416392,Active
LOAN300022,CUST102274,Personal,11102.78,15.67,60,2018-03-06 15:08:35.835995436,Defaulted
LOAN300023,CUST102789,Business,9008.08,16.13,12,2019-06-21 07:49:50.490573883,Active
LOAN300024,CUST104015,Home,22720.7,23.04,60,2021-03-25 16:30:44.783829212,Defaulted
LOAN300025,CUST104201,Personal,18120.35,11.09,48,2025-10-23 02:21:39.817955256,Active
LOAN300026,CUST103345,Personal,13704.66,14.58,24,2016-12-02 16:13:58.971957922,Active
LOAN300027,CUST102627,Student,90830.44,9.7,48,2019-07-02 17:10:02.195244551,Closed
LOAN300028,CUST101932,Personal,42217.79,16.13,84,2021-08-02 06:57:51.411352634,Active
LOAN300029,CUST101517,Business,12910.82,16.96,36,2018-10-21 10:35:54.280755281,Closed
LOAN300030,CUST102165,Home,85729.41,14.0,12,2022-12-18 10:44:50.775374174,Active
LOAN300031,CUST103351,Home,41573.25,18.94,120,2020-12-24 10:35:46.594193459,Active
LOAN300032,CUST102033,Home,15256.12,17.0,24,2016-08-30 02:46:45.748012066,Closed
LOAN300033,CUST102304,Home,56779.72,23.42,60,2016-12-18 15:32:03.968461037,Active
LOAN300034,CUST100209,Business,119844.76,21.0,12,2021-05-30 13:55:51.981462240,Active
LOAN300035,CUST100775,Business,84382.78,16.96,12,2025-04-01 16:19:03.783799887,Defaulted
LOAN300036,CUST101443,Vehicle,50359.77,17.3,240,2018-11-28 05:50:30.998442173,Closed
LOAN300037,CUST101264,Home,51545.5,23.28,240,2022-03-09 21:38:49.155140400,Defaulted
LOAN300038,CUST103843,Business,65620.88,21.14,84,2020-06-09 05:26:19.892993689,Closed
LOAN300039,CUST103857,Home,152176.8,14.74,240,2020-07-10 08:11:36.931020498,Restructured
LOAN300040,CUST100618,Home,21375.12,8.58,120,2016-08-22 13:17:18.547605276,Active
LOAN300041,CUST103651,Vehicle,2826.22,17.39,36,2021-04-17 12:53:16.021481991,Active
LOAN300042,CUST104997,Student,26029.95,8.95,36,2018-02-18 05:03:02.393140793,Active
LOAN300043,CUST101373,Home,51919.89,22.06,36,2017-08-17 07:29:40.448984146,Active
LOAN300044,CUST102036,Home,29332.6,17.73,60,2025-02-13 19:19:34.130509853,Closed
LOAN300045,CUST101150,Student,127259.0,20.68,36,2024-10-10 20:15:00.533984661,Active
LOAN300046,CUST104322,Vehicle,27782.72,12.82,240,2019-07-03 19:50:11.323691845,Active
LOAN300047,CUST103241,Business,138785.86,8.73,48,2025-08-10 23:20:40.154656410,Active
LOAN300048,CUST104885,Personal,233572.32,18.16,24,2021-09-21 23:08:35.119031906,Closed
LOAN300049,CUST103181,Business,22177.86,20.96,36,2022-03-10 20:47:55.244012356,Active
LOAN300050,CUST104379,Student,47946.44,18.04,24,2025-08-26 15:53:46.260892391,Closed
LOAN300051,CUST103711,Business,101279.47,24.28,12,2024-04-04 21:40:35.826629639,Closed
LOAN300052,CUST101899,Business,28932.59,12.77,24,2019-10-04 05:20:23.347944736,Restructured
LOAN300053,CUST100837,Student,20573.0,22.92,60,2019-11-25 05:35:27.949953079,Closed
LOAN300054,CUST100983,Student,116000.23,18.22,36,2020-08-28 07:41:26.180974722,Closed
LOAN300055,CUST103614,Home,9673.94,13.5,12,2025-10-27 14:25:50.936069727,Closed
LOAN300056,CUST102531,Vehicle,30146.31,10.28,84,2019-01-04 03:23:35.691439152,Closed
LOAN300057,CUST100986,Vehicle,27273.9,16.53,48,2022-03-12 09:34:59.694592953,Active
LOAN300058,CUST100390,Business,13695.65,20.18,120,2016-05-20 04:02:24.243842363,Active
LOAN300059,CUST101839,Vehicle,3571.59,11.26,24,2017-07-11 01:15:17.007583141,Restructured
LOAN300060,CUST103393,Business,24474.21,10.01,120,2021-08-01 19:18:55.959502697,Closed
LOAN300061,CUST102854,Home,33453.28,19.23,12,2025-01-12 16:30:39.720222950,Active
LOAN300062,CUST102733,Business,158260.05,,36,2022-08-07 09:18:45.037686348,Active
LOAN300063,CUST101769,Student,381467.29,10.15,24,2023-03-22 13:30:07.786960840,Restructured
LOAN300064,CUST104360,Personal,35855.96,23.91,36,2022-10-23 01:07:05.757558346,Restructured
LOAN300065,CUST101530,Personal,11372.5,15.15,36,2019-01-31 21:48:59.960837364,Active
LOAN300066,CUST100444,Business,58640.19,20.26,12,2025-07-30 03:04:24.566360712,Closed
LOAN300067,CUST103548,Business,3432.11,12.91,120,2022-03-25 22:07:45.706372499,Restructured
LOAN300068,CUST104354,Personal,32638.76,21.67,36,2021-05-27 21:35:13.996751070,Closed
LOAN300069,CUST101292,Personal,165111.66,11.61,120,2023-03-24 10:02:10.270728588,Active
LOAN300070,CUST103420,Business,191906.09,9.78,36,2021-08-25 10:32:22.122816801,Active
LOAN300071,CUST101693,Home,71326.75,8.86,24,2025-03-11 10:40:46.715883732,Defaulted
LOAN300072,CUST101859,Home,115948.83,21.93,12,2023-07-27 13:46:45.336412191,Defaulted
