transaction_id,account_id,timestamp,amount,txn_type,category,channel,is_fraud
TXN1089149,ACC203663,2025-09-12 19:15:00.471046925,778.1,Debit,Medical,Mobile App,0
TXN1102881,ACC204210,2024-02-26 22:40:04.099870682,72.5,Debit,Transfer,Mobile App,0
TXN1053116,ACC205141,2025-04-20 22:44:04.517396926,1126.31,Credit,Transfer,Mobile App,0
TXN1072282,ACC200649,2026-05-24 15:57:45.992453098,895.37,Debit,Restaurant,Online,0
TXN1011371,ACC201438,2024-12-02 11:52:29.038860321,68.45,Debit,Medical,ATM,0
TXN1074177,ACC200091,2025-12-19 07:43:42.318635702,193.46,Credit,Utilities,ATM,0
TXN1050656,ACC203240,2024-03-10 04:47:33.319172621,254.76,Credit,Fuel,Online,0
TXN1093519,ACC206252,2024-04-16 14:01:16.191528797,4084.02,Debit,Education,ATM,0
TXN1069247,ACC200381,2026-04-16 14:15:00.675549030,603.02,Debit,Restaurant,Branch,0
TXN1027195,ACC206642,2026-03-03 13:08:27.778417587,962.18,Debit,Withdrawal,Online,0
TXN1036241,ACC203317,2026-06-28 02:22:11.328857183,846.84,Debit,Groceries,Online,0
TXN1068141,ACC203920,2025-06-08 12:55:54.122358561,,Debit,Entertainment,Branch,0
TXN1033930,ACC204845,2025-05-09 07:08:55.799577475,397.12,Debit,Transfer,Branch,0
TXN1006052,ACC203838,2025-10-06 01:39:18.322301388,518.57,Debit,Utilities,Online,0
TXN1095327,ACC205917,2026-02-06 10:31:48.273680687,238.52,Debit,Entertainment,Mobile App,0
TXN1036932,ACC203345,2024-08-31 10:29:14.282629728,609.43,Credit,Medical,Branch,0
TXN1077483,ACC205111,2024-09-08 21:36:09.465404987,13.95,Debit,Groceries,Online,0
TXN1058642,ACC202513,2025-05-22 03:30:05.307975054,156.57,Debit,Restaurant,Branch,0
TXN1107366,ACC202627,2025-11-23 05:08:06.047894239,877.74,Debit,Medical,POS,0
TXN1090596,ACC204892,2025-03-14 10:29:06.397475481,1412.47,Debit,Loan Repayment,ATM,0
TXN1051992,ACC202925,2025-09-12 13:15:34.098721027,1161.28,Debit,Transfer,Branch,0
TXN1080136,ACC202609,2026-04-07 02:46:31.857118845,104.79,Debit,Online Shopping,Branch,0
TXN1098077,ACC203852,2026-03-21 03:49:26.716682434,36.44,Debit,Rent,POS,0
TXN1040884,ACC205333,2025-06-23 19:58:00.094613075,210.48,Debit,Insurance,Online,0
TXN1037959,ACC203905,2024-12-20 02:14:48.431105614,209.74,Debit,Rent,POS,0
TXN1080513,ACC202790,2025-07-28 01:15:32.905892372,13.41,Debit,Fuel,Online,0
TXN1034179,ACC206231,2024-05-18 11:08:48.743218422,93.79,Credit,Medical,ATM,0
TXN1043667,ACC202517,2026-03-14 10:08:28.161449909,146.14,Debit,Education,Online,0
TXN1008318,ACC202987,2026-04-22 16:45:11.776638031,309.37,Credit,Entertainment,Branch,0
